,year,kind,genre,country,language,rating,vote
2035,82,2,6,9,16,8,466
2036,66,3,5,9,16,7,2780
2037,73,7,24,9,16,4,242
2038,75,7,14,9,16,7,251
2039,66,1,4,8,16,6,1957
2040,85,0,6,9,16,8,102
2041,84,4,4,9,16,6,756
2042,38,1,6,1,20,7,2390
2043,78,7,0,9,16,3,1527
2044,75,7,6,8,16,7,88
2045,84,1,6,9,16,7,2583
2046,75,1,4,10,54,7,5523
2047,49,1,7,10,55,6,3762
2049,79,3,6,9,16,7,778
2050,42,1,13,10,22,2,3883
2051,75,0,7,9,16,5,25
2052,74,1,0,10,39,6,104
2053,72,7,6,9,16,7,45
2054,86,7,14,9,16,8,86
2055,84,7,2,6,33,5,750
2056,84,7,2,9,16,5,6137
2057,86,1,6,9,16,7,388
2058,83,1,6,9,16,6,519
2059,74,2,5,9,16,6,137
2060,84,3,6,9,16,6,20
2061,85,7,14,9,16,8,1138
2062,80,1,7,10,46,8,38059
2063,78,3,7,9,16,6,603
2064,81,3,4,9,16,5,591
2065,61,1,7,9,16,8,629404
2066,66,1,1,10,45,7,12576
2067,84,7,24,9,16,5,62
2068,83,7,6,9,16,7,32
2069,63,1,3,8,16,7,57432
2070,62,1,0,3,7,7,2136
2071,85,1,5,10,44,7,4612
2072,83,1,6,0,16,6,101
2073,82,1,6,9,16,7,221
2074,82,7,6,9,16,7,32
2075,84,1,6,9,16,5,1713
2076,79,1,0,3,7,6,688
2077,83,1,0,10,35,7,10882
2078,81,1,13,10,35,6,3357
2079,82,1,4,3,7,5,267
2080,47,1,7,4,26,7,261
2081,70,1,7,8,16,7,1649
2082,85,1,0,9,16,7,308
2083,86,1,6,9,16,7,2147
2084,65,1,13,0,16,7,87600
2086,79,7,21,9,16,7,14
2087,82,1,4,10,46,7,1822
2088,84,7,2,9,16,6,12
2089,82,7,6,9,16,8,45
2090,78,1,0,3,39,5,84
2091,80,3,2,6,16,7,2376
2092,82,7,6,9,16,5,25
2093,79,1,5,10,54,6,280
2094,60,1,0,4,26,7,2155
2095,62,1,6,9,16,7,162
2097,82,2,6,9,16,7,367
2098,63,1,1,5,32,5,9546
2099,55,1,0,1,20,7,5120
2101,82,1,4,10,11,7,13155
2102,75,4,4,9,16,3,1999
2103,77,0,0,8,16,7,2225
2104,76,1,4,9,16,6,49644
2105,84,1,4,0,16,6,1558
2106,86,1,4,8,16,7,530372
2107,72,0,5,8,16,8,1744
2108,11,1,7,9,16,5,6902
2109,86,4,4,9,16,6,316
2110,85,1,2,1,20,6,3961
2111,70,1,14,8,16,8,87
2112,84,1,4,10,35,6,443
2113,62,7,17,8,16,7,46
2114,57,3,7,9,16,8,276
2115,72,3,13,8,16,6,1117
2116,79,7,6,8,16,8,2503
2117,78,2,2,6,33,6,208
2118,82,1,7,4,26,5,226
2119,75,1,13,5,16,5,6691
2120,80,0,5,8,16,7,1008
2121,85,1,4,10,42,7,8204
2122,82,1,4,10,54,7,649
2123,86,7,17,7,41,7,12
2124,83,7,2,9,16,5,11321
2125,54,1,1,8,16,6,568
2127,76,1,6,9,16,8,19480
2128,58,1,7,8,37,6,2672
2129,56,1,6,9,54,7,20
2130,78,3,7,10,16,6,921
2131,43,1,1,9,16,6,440
2132,84,1,13,9,16,2,4215
2133,81,1,15,4,26,5,1700
2134,67,1,7,4,26,6,995
2135,74,1,7,3,7,5,45
2136,87,1,7,4,26,7,9011
2137,79,1,7,9,16,4,335
2138,76,4,2,6,33,7,865
2139,84,1,5,10,48,6,1971
2140,86,0,2,9,16,8,2903
2141,41,4,7,9,41,9,75784
2142,71,1,0,3,7,7,5122
2143,85,0,14,7,16,8,10
2144,80,1,4,8,16,6,3354
2145,78,1,4,10,6,8,15555
2146,77,3,7,9,16,5,256
2147,80,1,6,9,16,7,281
2148,77,1,0,3,7,7,6685
2149,42,1,7,1,20,6,699
2150,71,1,7,4,26,7,11764
2151,86,1,0,4,26,4,1041
2152,84,3,6,9,16,6,88
2153,58,1,4,10,22,6,1896
2154,83,1,15,3,7,5,363
2155,58,1,7,10,22,7,3976
2157,85,1,6,9,41,7,245
2158,44,1,7,5,32,7,8786
2159,81,1,7,4,26,4,1780
2160,80,7,6,9,16,6,41
2161,63,2,3,8,16,7,387
2162,73,1,7,1,20,7,7810
2163,21,1,4,9,16,7,1651
2164,81,1,7,1,16,6,2919
2165,82,1,0,6,33,6,3722
2166,72,1,0,3,7,6,551
2167,86,7,6,0,16,8,76
2168,65,1,2,6,33,8,7555
2169,87,1,4,9,41,7,706
2170,81,7,4,9,16,9,285
2171,87,7,2,9,16,6,3503
2172,81,7,17,9,16,6,19
2173,85,1,7,9,16,6,85
2174,85,4,22,9,16,6,9
2175,83,1,3,2,22,7,12950
2176,86,7,6,8,16,8,863
2177,82,4,7,0,16,8,19637
2178,80,3,4,9,16,7,4041
2179,67,0,1,9,16,7,213
2180,41,3,17,9,16,8,81
2182,72,4,7,0,16,8,4156
2183,82,1,2,10,10,7,6253
2184,83,1,7,10,35,7,2309
2185,63,4,1,7,41,7,5162
2186,86,7,4,9,16,7,406
2187,62,1,7,8,16,7,8670
2188,80,1,7,10,35,6,3184
2189,81,1,3,1,20,6,1782
2190,79,1,0,9,16,4,869
2191,84,1,7,10,3,6,848
2192,65,1,1,6,33,6,1137
2193,79,1,0,4,26,5,655
2194,76,1,6,9,16,7,2102
2195,85,1,4,9,16,6,6927
2196,51,1,4,9,16,5,1483
2197,85,7,6,9,16,8,663
2198,84,0,6,9,16,7,363
2199,64,3,7,9,16,6,657
2200,86,7,6,8,16,8,754
2201,73,2,7,9,16,7,670
2202,86,1,7,4,26,8,87010
2203,63,1,0,8,16,6,28627
2204,72,0,1,7,16,7,46
2205,76,1,0,3,7,6,5064
2206,63,1,4,8,16,5,3409
2208,82,7,6,9,16,7,96
2209,76,1,0,3,7,6,5537
2210,81,1,3,10,16,6,1289
2211,73,1,7,9,16,6,53693
2212,83,1,4,6,33,6,15669
2213,85,7,2,9,42,5,8907
2214,78,1,0,9,16,4,675
2215,85,1,2,10,16,8,8421
2216,85,7,22,9,16,6,54
2217,57,1,5,10,22,7,4247
2218,83,2,2,6,16,7,95
2219,79,4,0,9,41,8,136749
2220,37,1,13,9,16,6,5345
2221,56,3,2,9,16,7,8743
2222,85,1,0,3,7,6,2951
2223,86,1,7,8,16,6,20191
2224,83,1,7,4,26,4,609
2225,84,1,7,4,26,7,40366
2226,83,7,6,9,16,7,37
2227,53,1,13,8,16,6,2646
2228,83,1,14,9,16,8,285
2229,50,1,13,8,16,7,8518
2230,85,1,4,0,20,7,5222
2231,67,1,24,1,20,6,14722
2232,83,7,14,0,16,8,113
2233,41,1,7,8,20,7,5765
2234,82,1,4,1,20,6,1787
2235,69,1,2,6,33,7,312
2236,76,1,2,6,33,5,506
2237,38,1,13,6,33,6,4997
2238,82,7,7,9,22,5,124
2240,44,1,5,5,32,7,3180
2241,55,1,6,1,16,7,16084
2242,86,7,6,9,16,8,386
2244,77,4,4,9,16,6,14
2245,80,1,1,8,16,6,2777
2246,45,1,1,9,16,8,233640
2247,66,1,0,8,16,4,2143
2248,86,1,4,9,16,7,1775
2249,84,1,4,0,16,2,519
2250,64,1,7,9,16,5,980
2251,85,1,22,6,16,9,8
2252,83,3,7,0,16,6,584
2253,79,1,7,0,16,6,2937
2254,85,7,0,6,33,6,643
2255,41,4,7,9,41,9,75784
2256,78,0,5,7,41,7,36
2257,85,3,6,8,16,8,109
2258,85,7,0,9,16,2,936
2259,66,4,14,9,16,7,21
2260,60,3,4,8,16,7,6234
2261,24,1,7,9,16,6,5866
2262,86,1,7,9,16,5,1063
2263,79,7,6,9,16,5,63
2264,82,7,6,9,16,6,56
2265,48,1,4,8,16,6,3692
2266,86,4,2,6,33,7,191
2267,82,1,22,9,16,7,14
2268,82,7,6,9,16,7,130
2269,83,1,4,9,16,5,510
2270,83,1,4,8,16,6,1370
2271,81,7,9,9,16,5,8346
2272,85,0,5,8,16,7,290
2273,82,1,5,1,20,4,17325
2274,85,1,4,10,25,6,530
2276,84,3,2,9,16,8,3638
2277,35,1,20,9,16,3,1176
2278,78,1,4,0,16,7,2662
2279,78,7,14,8,16,8,68
2280,7,1,6,9,41,7,1012
2281,76,0,5,8,16,7,232
2282,87,7,13,9,16,2,1171
2283,52,1,13,5,32,7,19618
2284,73,1,7,6,33,7,6645
2286,76,0,0,7,41,8,160
2287,86,1,4,9,16,6,214743
2288,84,1,6,10,46,7,8095
2289,79,2,6,8,16,8,1608
2290,84,0,5,8,16,7,669
2291,86,7,13,9,16,2,670
2292,87,7,2,9,16,5,1799
2293,85,3,2,0,16,5,162
2294,74,3,7,9,16,7,505
2295,51,1,7,8,16,7,7419
2296,82,1,4,5,32,7,96280
2297,84,7,6,9,16,7,27
2298,83,3,1,10,16,4,472
2299,84,1,7,4,26,6,3244
2300,47,1,0,6,33,7,1656
2301,85,7,2,9,16,6,106
2303,50,1,7,8,16,5,2300
2304,80,1,0,9,16,5,874
2306,87,1,6,9,16,7,349
2307,84,1,7,1,20,5,736
2308,75,7,0,9,16,3,4665
2309,86,7,6,9,16,8,36
2310,77,1,7,6,33,5,184
2311,79,7,4,9,16,4,2092
2312,75,1,7,1,20,7,1995
2313,86,1,7,9,16,6,5681
2314,46,4,2,6,16,7,207
2315,78,4,2,0,16,8,7723
2316,82,4,2,9,16,7,23786
2317,81,2,7,0,16,7,20725
2318,75,1,2,6,33,7,10345
2319,78,1,5,6,33,7,5886
2321,82,1,3,1,16,6,7664
2322,87,4,6,8,16,7,46
2323,85,7,2,9,16,6,2052
2324,82,0,6,7,41,6,17
2325,86,7,24,9,16,2,277
2326,83,0,6,8,16,7,194
2327,74,3,7,9,16,6,224
2328,78,1,5,0,16,7,2702
2329,69,4,0,9,16,8,108100
2330,84,7,0,9,16,5,5990
2331,83,4,2,6,33,6,83
2332,82,7,2,10,16,3,129
2333,86,7,8,9,16,5,10
2334,61,4,4,8,16,7,1836
2335,68,1,0,3,7,7,21828
2336,87,7,7,9,16,4,1635
2337,83,2,6,8,16,8,2157
2338,81,3,0,0,16,3,381
2339,70,1,3,9,16,7,19294
2340,77,1,4,3,7,6,1146
2341,86,4,2,6,16,8,2340
2342,81,1,4,2,17,7,2682
2343,52,1,0,6,33,7,2446
2344,69,3,4,9,16,9,23
2345,84,0,5,8,16,7,309
2346,80,4,7,8,16,8,55
2347,58,1,13,10,16,5,4355
2349,85,1,6,9,16,7,206
2350,53,1,13,1,20,5,1716
2351,71,4,8,8,16,7,2251
2352,85,1,7,0,16,7,1386
2354,83,4,7,0,16,7,12627
2355,42,1,4,8,16,6,1939
2356,83,1,0,9,16,8,80
2357,67,7,14,9,16,8,61
2358,53,1,0,6,33,7,1478
2359,49,1,5,1,20,8,48355
2360,84,1,6,9,16,6,402
2361,86,4,11,9,16,7,1985
2362,79,1,6,10,54,6,566
2363,75,0,7,9,16,8,110
2364,78,2,7,9,16,7,1940
2365,79,2,5,8,16,7,251
2366,86,1,7,4,16,6,234
2367,77,1,21,9,16,7,43
2368,80,7,6,9,16,8,66
2369,82,3,6,9,16,7,457
2370,59,1,7,4,26,6,345
2371,78,1,0,6,33,7,3631
2372,77,1,5,9,16,6,7744
2374,73,3,6,0,20,7,128
2375,11,1,7,8,16,7,1510
2376,82,1,0,4,26,6,2301
2377,83,4,0,0,16,4,2521
2378,74,1,5,9,16,5,1884
2379,49,1,3,10,55,7,2713
2381,57,1,4,9,16,7,438
2382,67,1,4,9,16,6,3819
2383,86,3,19,1,20,5,330
2384,83,1,7,5,32,6,430
2385,46,1,7,4,26,7,105
2386,82,7,4,9,16,5,740
2387,58,1,7,10,22,7,2568
2388,78,1,7,10,54,7,1984
2389,85,1,6,9,16,7,290
2390,84,1,6,9,16,6,85949
2391,86,1,0,4,26,7,8555
2392,69,4,6,8,16,8,83
2393,81,4,2,6,41,6,73
2394,83,7,6,9,16,6,24
2395,83,1,0,9,16,2,374
2396,82,1,7,1,20,7,13010
2397,81,1,1,1,16,6,65364
2398,81,3,3,9,16,7,6045
2399,75,7,14,9,16,8,46
2400,74,0,4,9,16,8,548
2401,81,0,5,8,16,7,757
2402,41,1,7,1,20,7,30077
2403,48,1,7,1,20,5,576
2404,83,1,6,10,16,7,344
2405,64,3,0,8,16,7,4551
2406,84,1,0,3,16,5,7376
2407,82,1,4,4,26,5,4307
2408,82,0,7,9,16,7,278
2409,58,3,0,9,16,6,3281
2410,59,1,4,9,16,6,18041
2411,48,1,4,8,16,6,4056
2412,87,7,6,9,16,8,61
2413,47,1,0,5,32,6,4110
2414,76,2,6,8,16,8,288
2415,81,7,6,9,16,8,350
2417,78,1,6,9,16,8,3163
2418,82,1,7,6,33,6,239
2419,46,1,4,8,16,8,467386
2420,81,1,6,9,16,7,17417
2421,78,1,14,9,16,8,106
2422,83,3,0,0,16,8,505
2423,61,4,4,8,16,8,127
2424,83,1,6,9,16,7,1040
2425,70,1,0,10,16,3,305
2426,86,7,4,0,16,4,855
2427,61,1,4,8,16,8,381207
2428,73,7,6,9,16,9,146
2429,87,1,7,9,16,6,128128
2430,68,1,0,3,7,6,1295
2431,80,1,7,10,20,6,2398
2432,86,7,2,6,33,5,8
2433,86,4,7,0,16,7,25101
2434,53,1,4,9,16,6,1073
2435,52,1,6,9,16,8,16704
2436,82,1,5,10,54,7,6379
2438,81,1,6,9,16,7,151
2440,81,7,14,9,16,7,25
2441,39,1,7,6,33,8,49644
2442,49,1,4,10,10,7,10292
2443,64,1,7,10,16,6,555
2444,86,3,7,9,16,5,1165
2445,62,1,0,9,16,8,1204367
2446,19,1,4,1,20,7,1764
2447,51,1,7,10,22,7,2759
2448,87,7,2,9,16,6,263
2449,68,1,3,8,16,7,30753
2450,87,7,6,9,16,7,49
2451,85,7,14,9,16,8,130
2452,77,1,2,6,33,6,741
2453,86,7,6,9,16,8,55
2454,87,1,4,4,26,6,6714
2455,27,1,7,1,20,8,19133
2456,69,1,1,3,7,6,161
2457,44,4,4,9,16,7,2525
2459,83,1,0,9,16,5,5661
2460,76,3,7,9,16,6,587
2461,48,1,0,8,16,7,6663
2462,76,7,6,9,16,8,112
2463,82,7,2,9,16,7,292
2464,68,3,3,9,16,6,395
2465,81,3,3,9,16,7,4479
2466,77,1,21,9,16,7,43
2467,83,1,7,10,36,7,8163
2468,83,3,3,9,16,7,15814
2469,85,3,4,0,16,3,197
2470,81,1,6,2,16,7,18776
2471,79,1,3,2,22,7,3401
2472,85,1,6,9,16,6,491
2473,86,7,13,9,16,4,394
2474,77,1,5,1,20,7,10833
2475,69,1,4,9,16,6,32285
2476,83,7,2,6,33,6,169
2477,84,1,6,9,16,6,5733
2478,85,0,6,7,16,7,104
2479,79,1,4,9,16,6,1986
2480,75,4,4,9,16,3,1999
2481,82,1,22,6,16,6,8
2482,84,1,6,9,16,7,382
2483,85,0,6,7,41,7,20
2485,59,0,1,8,16,8,509
2486,87,7,4,9,16,6,51
2487,77,1,0,0,16,4,873
2488,63,1,13,5,32,6,13640
2489,53,4,7,8,16,8,2895
2490,87,7,8,9,16,6,21
2491,83,0,7,7,41,7,124
2492,82,1,7,4,26,6,7186
2493,86,1,6,9,16,7,2910
2494,82,1,5,3,7,6,661
2495,77,2,2,6,33,5,155
2496,85,4,5,9,16,8,1317
2497,81,7,1,9,16,4,328
2498,62,1,0,4,26,6,500
2499,74,3,7,8,41,6,101
2500,87,1,0,9,16,4,69030
2501,20,1,4,9,16,7,24547
2502,83,0,2,7,41,7,35
2503,84,1,0,10,16,6,3671
2504,83,7,14,9,16,8,306
2505,72,4,2,6,16,6,751
2506,83,7,13,9,16,4,5307
2507,85,7,2,10,16,6,65
2508,73,3,6,9,41,8,312
2509,78,7,2,6,33,6,61
2510,79,1,7,8,16,6,697
2511,71,1,3,5,16,6,1472
2512,73,1,7,8,16,6,2595
2513,85,1,4,3,7,6,980
2514,39,1,4,4,26,8,1758
2515,63,1,4,1,20,7,4072
2516,85,3,6,9,16,7,94
2517,87,7,21,7,41,9,47
2518,87,7,0,0,16,3,510
2519,85,4,2,6,16,6,408
2520,82,3,5,0,16,6,612
2521,84,1,6,9,16,6,286
2522,82,7,14,9,16,6,98
2523,69,1,0,9,16,7,37805
2524,80,1,6,9,16,6,73
2525,84,1,0,10,54,4,785
2526,54,1,5,9,16,9,1702809
2527,60,1,7,4,26,7,2717
2528,85,1,13,2,22,5,3631
2529,72,1,0,3,7,7,10360
2530,84,1,0,4,26,6,3320
2531,82,1,14,9,16,7,30
2532,78,1,7,6,33,7,388
2533,56,1,13,10,16,6,7811
2534,87,3,13,9,16,3,871
2535,60,1,0,4,26,6,435
2536,65,1,0,3,7,7,16056
2537,83,3,5,9,16,6,566
2538,86,0,2,9,16,8,1182
2539,63,1,0,1,20,3,3233
2540,83,1,0,3,7,4,233
2541,86,2,22,9,16,7,234
2542,83,7,14,9,16,8,254
2544,86,0,6,7,41,7,28
2546,83,1,14,9,16,9,665
2547,79,4,0,9,16,6,2220
2548,87,7,6,9,16,8,121
2549,87,7,2,9,16,5,1257
2550,71,1,0,9,16,6,13223
2551,77,3,7,9,16,7,3267
2552,77,1,6,9,16,7,240
2553,78,4,6,9,16,8,1280
2554,83,1,5,9,16,6,1349
2555,84,7,0,9,16,4,462
2556,86,1,13,5,32,4,5188
2557,76,3,4,9,16,4,607
2558,68,4,4,8,16,8,44602
2559,82,3,7,9,16,6,735
2560,53,1,13,5,32,6,10082
2561,86,1,14,9,16,8,20
2562,83,7,0,9,16,3,998
2563,48,1,7,10,22,7,2289
2564,82,1,7,2,22,7,14351
2565,74,3,3,9,16,7,1381
2566,84,1,6,9,16,8,83
2568,84,1,7,3,7,7,915
2569,82,3,14,9,16,8,260
2570,82,7,4,9,16,3,3079
2571,83,1,5,9,16,3,508
2572,78,3,5,8,16,6,100
2573,42,1,7,5,32,7,10388
2574,62,1,6,9,16,6,887
2575,83,1,7,4,26,8,109297
2576,81,1,6,5,16,8,3225
2577,80,7,6,9,16,7,1254
2578,82,4,2,6,41,7,392
2579,82,1,7,0,16,5,313
2580,81,1,3,8,16,6,3616
2581,87,1,22,9,16,7,1383
2582,83,3,13,9,16,4,1877
2583,83,7,1,9,16,5,4096
2584,85,1,13,9,16,5,61726
2585,74,0,4,9,16,7,479
2586,86,3,6,9,16,7,22
2587,80,0,1,7,41,7,16
2588,85,1,7,8,16,6,20377
2589,83,0,6,9,16,6,126
2590,83,1,6,9,16,5,37
2591,76,4,7,10,16,7,733
2592,80,2,2,6,33,6,103
2593,84,1,7,10,11,6,600
2594,78,1,4,10,16,7,84896
2595,66,2,0,9,16,7,8095
2596,70,7,14,8,16,8,154
2597,78,1,7,10,44,6,3224
2598,83,7,14,9,16,7,76
2599,86,7,6,9,16,8,8
2600,61,1,0,3,7,7,1503
2601,57,1,7,8,16,6,20106
2602,74,7,13,9,16,2,347
2603,59,1,6,9,16,8,814
2604,84,1,7,10,13,7,6559
2605,82,1,7,1,20,5,126
2606,78,0,5,8,16,8,1632
2607,74,1,4,9,16,7,10849
2608,85,3,7,9,16,7,1535
2609,84,4,0,6,16,7,628
2610,57,3,13,9,16,6,6762
2611,72,1,0,4,26,7,4263
2612,86,3,20,9,16,3,534
2613,77,1,7,9,16,6,178
2614,58,4,1,8,16,8,1460
2617,11,1,21,1,41,7,47975
2618,60,1,6,9,16,7,5768
2619,76,1,0,9,16,7,172975
2620,87,7,2,9,16,7,43
2621,80,3,1,9,16,7,556
2622,14,1,9,2,22,7,16923
2623,78,3,3,8,16,6,2614
2624,78,1,0,9,16,3,1910
2625,81,4,0,7,41,7,66925
2626,86,3,6,9,16,7,1357
2627,67,1,4,8,16,7,6777
2628,85,7,13,9,16,2,358
2629,84,2,6,9,16,8,159
2630,67,2,6,8,16,8,269
2631,23,1,0,6,33,7,2205
2632,83,1,4,1,20,8,724608
2633,83,1,6,10,42,6,731
2634,83,0,6,9,16,7,757
2635,85,7,15,9,16,8,110
2636,84,3,13,9,16,5,469
2637,72,1,0,3,7,6,2283
2638,84,3,0,0,16,4,236
2639,81,3,0,0,16,5,588
2640,83,2,6,9,16,7,11
2641,84,4,2,6,33,8,2861
2642,74,1,3,9,16,7,89998
2643,84,4,2,6,33,6,493
2644,45,1,13,6,33,6,2956
2645,77,1,7,4,26,7,4887
2647,44,4,4,9,16,7,2525
2648,85,1,6,2,40,7,6174
2649,74,1,2,6,33,7,869
2650,68,4,4,8,16,8,44602
2651,83,1,7,10,8,6,1489
2652,66,2,7,10,22,8,3079
2653,82,1,6,9,16,7,231
2654,83,3,6,2,16,7,67
2655,81,1,7,1,20,6,2403
2656,78,7,2,6,33,4,207
2657,72,4,4,8,16,7,14858
2658,63,1,7,4,26,7,2678
2659,81,1,0,3,7,6,671
2660,60,1,2,6,33,7,1325
2661,77,1,1,1,20,7,5910
2662,71,1,0,3,7,7,1321
2663,81,1,2,6,33,7,16055
2664,85,1,6,0,16,6,1339
2667,86,3,3,9,16,7,1648
2669,82,7,17,9,16,8,8
2670,64,1,0,3,7,6,3760
2671,83,1,7,10,16,5,367
2672,45,1,0,9,16,7,39689
2673,50,1,4,8,16,4,597
2674,40,1,6,9,16,6,43
2675,59,1,7,10,45,7,4166
2676,83,0,2,6,33,7,21
2677,84,4,2,6,33,7,481
2678,81,1,4,1,20,5,553
2679,80,7,9,9,16,4,2692
2681,84,3,9,9,16,4,461
2682,71,4,5,8,16,8,40681
2683,73,1,2,6,33,7,881
2684,78,1,7,10,39,7,3261
2685,81,0,2,6,41,7,1441
2686,77,1,6,2,16,6,645
2687,66,4,6,9,16,6,55
2688,86,7,8,9,16,6,36
2689,82,3,7,9,16,6,1692
2690,85,7,14,7,41,8,28
2691,80,4,2,6,41,6,257
2692,58,3,0,9,16,6,3281
2693,84,0,17,1,20,6,2061
2694,63,4,4,8,16,7,636
2695,15,1,6,8,16,7,190
2696,82,1,5,0,16,4,517
2697,86,7,6,9,16,6,183
2698,85,1,0,9,16,6,46364
2700,80,7,2,9,16,7,15041
2702,70,1,7,8,54,6,200
2703,61,1,0,3,7,6,2230
2704,62,1,0,10,16,6,4393
2705,86,3,2,0,16,5,272
2706,81,1,7,10,44,8,16686
2707,74,1,0,3,7,7,9519
2708,75,1,6,9,16,7,88
2709,47,1,4,5,32,7,13023
2710,83,1,4,9,16,7,83
2711,85,3,9,0,16,5,2419
2712,87,7,13,9,16,2,858
2713,47,1,4,10,48,8,12646
2714,63,1,7,4,26,7,2300
2715,71,4,4,9,16,6,5109
2716,85,3,7,5,16,6,1342
2717,78,0,0,8,16,7,2020
2718,72,4,4,8,16,7,184
2719,81,7,2,9,41,7,702
2721,85,1,4,0,16,6,5899
2722,84,1,4,10,39,6,2321
2723,85,1,6,9,16,8,46
2724,76,1,4,10,16,7,48382
2725,41,4,7,9,41,9,75786
2726,28,1,7,8,16,7,1408
2727,87,3,7,0,16,4,423
2728,83,1,4,8,16,6,1282
2729,52,1,1,10,55,6,4903
2730,59,1,0,10,39,5,250
2731,84,4,2,6,16,6,1267
2732,82,7,0,9,16,4,3039
2733,83,1,9,10,16,6,17897
2734,19,1,5,1,20,7,6957
2735,81,0,5,8,16,7,896
2736,51,1,7,1,20,7,3992
2737,85,1,6,9,16,8,39
2738,71,1,1,0,16,4,35696
2740,85,7,6,8,16,2,12
2741,83,7,17,9,16,7,18
2742,84,3,7,9,16,5,571
2743,65,2,7,9,16,7,8584
2744,56,1,7,0,16,6,4894
2745,62,1,0,10,48,6,827
2746,50,1,7,6,33,4,118
2747,82,1,7,9,16,6,6879
2748,87,1,4,8,16,5,4215
2749,77,1,0,9,16,7,177792
2750,83,1,5,9,16,5,1446
2751,83,7,2,9,16,6,5762
2752,81,1,7,0,16,5,15080
2753,85,1,7,0,16,5,950
2754,84,3,6,9,16,8,40
2755,83,3,7,9,16,7,757
2756,85,5,21,9,16,9,58
2757,85,7,20,9,16,4,175
2758,53,1,7,4,26,7,245
2759,83,7,7,9,16,4,224
2760,85,1,5,8,16,6,1697
2761,83,1,4,10,21,7,3263
2762,58,1,4,9,16,6,1792
2763,82,7,2,9,16,6,12044
2764,45,1,4,9,16,7,5204
2765,83,1,0,4,26,6,2592
2766,75,7,14,9,16,8,2355
2767,83,2,3,0,16,8,2215
2769,80,1,7,9,16,4,301
2770,86,1,7,9,16,5,624
2771,85,7,4,9,16,5,37
2772,73,1,7,9,16,3,303
2773,40,1,16,9,16,8,381859
2774,86,2,18,8,16,7,218
2775,75,4,4,9,16,3,1999
2776,84,1,5,10,48,7,44224
2777,84,0,5,8,16,7,724
2778,83,1,18,9,16,4,90
2779,61,1,5,9,16,5,1007
2780,74,1,9,9,16,4,20674
2781,85,1,4,10,54,5,903
2782,84,7,6,9,16,8,13
2783,83,1,13,0,16,4,2840
2784,64,1,0,4,26,7,2062
2785,77,1,6,9,16,7,573
2786,85,1,7,4,26,6,524
2787,82,3,7,9,16,7,473
2788,76,3,7,0,16,5,519
2789,81,1,4,10,25,7,575
2790,80,0,1,7,41,7,18
2791,84,1,4,9,16,6,677
2792,76,7,2,9,16,7,37
2793,60,1,0,3,7,5,2145
2794,85,7,2,9,16,6,173
2795,82,7,0,10,16,3,2450
2796,56,1,13,8,16,6,3673
2797,60,1,14,9,16,8,104
2798,33,1,4,8,16,7,9397
2799,85,1,7,1,20,6,10356
2800,80,0,6,9,16,6,11
2801,54,1,3,8,16,6,1395
2802,44,1,1,8,16,8,279303
2803,85,1,22,9,16,6,473
2804,84,1,5,10,46,8,721546
2805,84,7,15,9,16,8,16
2806,53,1,5,5,32,6,760
2807,83,1,7,10,16,6,2842
2808,84,1,17,9,16,6,13
2809,80,1,0,3,7,7,1087
2810,75,7,17,9,16,7,139
2811,35,1,4,5,32,7,17460
2812,87,7,4,9,16,4,726
2813,76,0,5,8,16,8,1987
2814,83,3,0,9,16,7,3122
2815,76,1,3,8,16,7,16192
2816,82,4,2,6,16,6,48
2817,81,1,2,6,33,7,729
2818,84,1,5,9,16,6,55212
2819,70,1,4,9,16,3,15233
2820,83,0,1,9,16,6,465
2822,81,1,7,2,22,7,197
2823,80,1,17,9,16,6,45
2824,72,1,4,1,20,7,4165
2825,84,1,4,0,16,6,829
2826,78,1,0,4,26,6,7388
2827,77,1,7,6,33,7,5557
2828,72,0,2,7,41,7,8
2829,84,1,7,10,3,6,496
2830,47,1,24,8,16,7,14897
2831,80,1,6,9,16,7,544
2832,83,3,3,9,16,7,5264
2833,54,1,2,6,33,6,1733
2834,86,0,6,7,41,8,72
2835,54,4,0,6,33,7,60
2836,77,0,4,8,16,6,20
2837,84,1,0,3,7,8,121197
2838,75,3,5,8,16,6,262
2839,81,3,26,10,16,5,575
2840,84,1,6,9,16,7,43
2842,16,1,13,8,16,6,66
2843,86,1,13,0,16,3,1320
2844,82,7,9,9,16,5,5214
2845,79,7,2,9,9,6,1487
2846,81,3,5,5,16,6,1140
2847,80,7,8,9,16,7,63
2848,84,1,0,6,33,6,11237
2849,86,0,4,7,41,8,8
2850,77,7,17,9,16,8,9
2851,70,1,7,10,45,8,21459
2852,82,4,11,9,16,5,10126
2853,72,1,0,9,16,4,7225
2854,71,1,0,4,26,6,1931
2855,73,1,0,3,7,6,709
2856,85,1,7,10,10,7,3484
2857,85,1,0,10,39,6,4192
2858,76,4,2,9,16,8,15366
2859,55,1,4,8,16,6,3000
2860,81,1,0,3,7,7,5670
2861,81,1,6,9,16,6,10
2862,64,1,4,8,16,6,2186
2863,79,1,7,9,16,3,4442
2864,62,3,20,9,16,7,2601
2865,41,4,7,9,41,9,75786
2866,86,7,4,9,16,4,627
2867,26,1,4,9,16,6,1186
2868,74,1,5,10,16,6,38514
2869,86,1,4,9,16,4,274
2870,73,7,14,9,16,8,718
2871,78,3,0,6,16,6,382
2872,73,3,13,0,16,3,6445
